ID,Label,Gender
111514,David Pressman,0
73831,Godfrey,0
1548291,Taj Crown,0
130229,Richie Rich,0
1548292,King,0
1548293,Frederic Fekkai,0
1236784,Kevyn Aucoin,0
1548294,Boris Kachscovsky,0
1548295,Mitch Winston,0
1548296,Mason Webb,0
152302,Alexa Nikolas,1
47983,Victoria Beckham,1
10961,Gavin Rossdale,2
1920,Winona Ryder,1
1954,Billy Zane,2
170874,Fabio,2
1316507,Klara Landrat,1
3872,Daniel Brühl,2
74568,Chris Hemsworth,2
59315,Olivia Wilde,1
5644,Alexandra Maria Lara,1
58502,Natalie Dormer,1
28478,Christian McKay,2
52639,Tom Wlaschiha,2
17839,Pierfrancesco Favino,2
10779,David Calder,2
21345,Stephen Mangan,2
56100,Alistair Petrie,2
7031,Julian Rhind-Tutt,2
23608,Colin Stinton,2
1294711,Jamie de Courcey,0
1294712,Ilario Calvo,0
43019,Patrick Baladi,2
26669,Vincent Riotta,2
30328,Martin Savage,2
1833,Jamie Sives,2
1205278,James Norton,2
1426167,Michael Vardian,0
35438,Jochen Kolenda,2
1291138,Hannah Britland,1
1693317,Augusto Dallara,0
994133,Douglas Reith,0
1523067,Eddie Bagayawa,0
578690,Lee Nicholas Harris,2
62,Bruce Willis,2
2295,Mickey Rourke,2
56731,Jessica Alba,1
2296,Clive Owen,2
6278,Devon Aoki,1
5916,Rosario Dawson,1
61981,Michael Clarke Duncan,2
6279,Alexis Bledel,1
17832,Carla Gugino,1
2299,Josh Hartnett,2
6280,Powers Boothe,2
585,Rutger Hauer,2
5915,Jaime King,1
147,Michael Madsen,2
328,Brittany Murphy,1
6408,Nick Stahl,2
109,Elijah Wood,2
8693,Jude Ciccolella,2
23285,Jeffrey J. Dashnaw,2
977061,Jesse De Luna,2
20496,Jason Douglas,0
2478,Tommy Flanagan,2
123532,Rick Gomez,2
134015,David H. Hickey,2
1358928,Greg Ingram,2
18070,Nicky Katt,2
717568,Helen Kirk,0
1224272,John McLeod,0
1075540,Lisa Marie Newmyer,1
96004,Tommy Nix,0
17039,Nick Offerman,2
994259,Marco Perella,2
215887,Randal Reeder,2
1372211,Jeff Schwan,2
6407,Marley Shelton,1
2293,Frank Miller,2
568605,Korey Simeone,2
1133460,Paul T. Taylor,0
1401151,Rico Torres,2
2139,Makenzie Vega Norfolk,1
91612,Arie Verveen,2
3133,Patricia Vonne,1
61847,Ethan Maniquis,0
59456,Ken Thomas,2
139235,Chris Warner,2
964848,Ethan Rains,2
1883083,Cara D. Briggs,1
1883091,Christina Frankenfield,0
1883093,Evelyn Hurley,1
1883096,Jason McDonald,0
171538,Clark Middleton,2
3894,Christian Bale,2
72129,Jennifer Lawrence,1
17604,Jeremy Renner,2
52849,Louis C.K.,2
54738,Jack Huston,2
74242,Shea Whigham,2
4941,Alessandro Nivola,2
126932,Elisabeth Röhm,1
58535,Paul Herman,2
5419,Saïd Taghmaoui,0
239111,Matthew Russell,0
1710602,Thomas Matthews,2
94432,Adrian Martinez,2
2516,Anthony Zerbe,2
13023,Colleen Camp,1
1808040,Steve Gagliastro,0
1656520,Christopher Tarjan,0
1746132,Zachariah Supka,0
131849,Christy Scott Cashman,1
